severity_1-day,severity_2-day,severity_3-day,severity_4-day,severity_5-day,severity_6-day,severity_7-day,total_deaths_hospital,hospital_name,cms_certification_number,countyfips,countyname,statename,system_affiliation,latitude,longitude
3,3,3,3,3,3,3,911.81,Flushing Hospital Medical Center,330193,36081,Queens,NY,"Not In Any System - ,",40.76,-73.82
3,3,3,3,3,3,3,903,University Hospital,450213,48029,Bexar,TX,"Not In Any System - ,",29.51,-98.58
3,3,3,3,3,3,3,902.54,Community Regional Medical Center,50060,6019,Fresno,CA,"Community Medical Centers - Fresno, CA",36.74,-119.78
3,3,3,3,3,3,3,902.42,The University of Chicago Medical Center,140088,17031,Cook,IL,"UChicago Medicine - Chicago, IL",41.79,-87.6
3,3,3,3,3,3,3,893.98,Lancaster General Hospital,390100,42071,Lancaster,PA,"Penn Medicine - Philadelphia, PA",40.05,-76.31
3,3,3,3,3,3,3,883.7,Northside Hospital Gwinnett,110087,13135,Gwinnett,GA,"Northside Hospital - Atlanta, GA",33.96,-84.02
3,3,3,3,3,3,3,868.49,Rhode Island Hospital,410007,44007,Providence,RI,"Lifespan Corporation - Providence, RI",41.81,-71.41
3,3,3,3,3,3,3,862.39,Methodist Hospital,450388,48029,Bexar,TX,"Methodist Healthcare System - San Antonio, TX",29.51,-98.57
3,3,3,3,3,3,3,846.86,The Children's Hospital of Philadelphia,393303,42101,Philadelphia,PA,"Not In Any System - ,",39.95,-75.19
3,3,3,3,3,3,3,845.41,Memorial Regional Hospital,100038,12011,Broward,FL,"Memorial Healthcare System - Hollywood, FL",26.02,-80.18
3,3,3,3,3,3,3,825.94,Hartford Hospital,70025,9003,Hartford,CT,"Hartford Healthcare - Hartford, CT",41.75,-72.68
3,3,3,3,3,3,3,822.55,Harbor-UCLA Medical Center,50376,6037,Los Angeles,CA,"Los Angeles County, Department of Health Services - Los Angeles, CA",33.83,-118.29
3,3,3,3,3,3,3,800.81,Yuma Regional Medical Center,30013,4027,Yuma,AZ,"Not In Any System - ,",32.68,-114.63
3,3,3,3,3,3,3,795.49,"Beaumont Hospital, Royal Oak",230130,26125,Oakland,MI,"Beaumont Health - Royal Oak, MI",42.52,-83.19
3,3,3,3,3,3,3,793.93,Phoenix Children's Hospital,33302,4013,Maricopa,AZ,"Not In Any System - ,",33.48,-112.04
3,3,3,3,3,3,3,777.14,Jersey City Medical Center,310074,34017,Hudson,NJ,"RWJBarnabas Health - West Orange, NJ",40.72,-74.05
3,3,3,3,3,3,3,771.82,Saint John's Episcopal Hospital,330395,36081,Queens,NY,"Not In Any System - ,",40.6,-73.75
3,3,3,3,3,3,3,770.3,Henry Ford Macomb Hospital - Clinton Township,230047,26099,Macomb,MI,"Henry Ford Health System - Detroit, MI",42.61,-82.96
3,3,3,3,3,3,3,769.66,Long Island Jewish Forest Hills Hospital,330353,36081,Queens,NY,"Northwell Health - Great Neck, NY",40.73,-73.85
3,3,3,3,3,3,3,762.97,UC San Diego Health System - Hillcrest,50025,6073,San Diego,CA,"UC San Diego Health System - San Diego, CA",32.75,-117.17
3,3,3,3,3,3,3,753.45,University Hospital of Brooklyn,330350,36047,Kings,NY,"Not In Any System - ,",40.66,-73.95
3,3,3,3,3,3,3,751.75,Lakeland Regional Health Medical Center,100157,12105,Polk,FL,"Not In Any System - ,",28.06,-81.95
3,3,3,3,3,3,3,750.48,North Shore University Hospital,330106,36059,Nassau,NY,"Northwell Health - Great Neck, NY",40.77,-73.7
3,3,3,3,3,3,3,750.33,Overlook Medical Center,310051,34039,Union,NJ,"Atlantic Health System - Morristown, NJ",40.71,-74.35
3,3,3,3,3,3,3,749.07,"BronxCare Dr. Martin Luther King, Jr. Health Center",330009,36005,Bronx,NY,"BronxCare Heath Care System - Bronx, NY",40.83,-73.9
3,3,3,3,3,3,3,748.67,Ascension Macomb - Oakland Hospital Warren Campus,230195,26099,Macomb,MI,"Ascension Health - Saint Louis, MO",42.51,-83
3,3,3,3,3,3,3,745.07,Stanford Hospital,50441,6085,Santa Clara,CA,"Stanford Health Care - Stanford, CA",37.43,-122.17
3,3,3,3,3,3,3,744.32,Methodist University Hospital,440049,47157,Shelby,TN,"Methodist Le Bonheur Healthcare - Memphis, TN",35.14,-90.02
3,3,3,3,3,3,3,731.79,Banner - University Medical Center Phoenix,30002,4013,Maricopa,AZ,"Banner Health - Phoenix, AZ",33.47,-112.06
3,3,3,3,3,3,3,723.39,UCI Health,50348,6059,Orange,CA,"University of California Health - Oakland, CA",33.79,-117.89
3,3,3,3,3,3,3,720.06, Reading Hospital,390044,42011,Berks,PA,"Tower Health - Reading, PA",40.33,-75.95
3,3,3,3,3,3,3,712.94,NYU Langone Tisch Hospital,330214,36061,New York,NY,"NYU Langone Health - New York, NY",40.74,-73.97
3,3,3,3,3,3,3,712.79,Community Medical Center,310041,34029,Ocean,NJ,"RWJBarnabas Health - West Orange, NJ",39.97,-74.22
3,3,3,3,3,3,3,712.62,AdventHealth Orlando,100007,12095,Orange,FL,"AdventHealth - Altamonte Springs, FL",28.57,-81.37
3,3,3,3,3,3,3,709.97,Riverside University Medical Center,50292,6065,Riverside,CA,"Not In Any System - ,",33.91,-117.2
3,3,3,3,3,3,3,708.26,Hoag Hospital Newport Beach,50224,6059,Orange,CA,"Hoag Hospitals - Newport Beach, CA",33.63,-117.93
3,3,3,3,3,3,3,706.42,University Medical Center,290007,32003,Clark,NV,"University Medical Center - Las Vegas, NV",36.16,-115.17
3,3,3,3,3,3,3,702.11,McLaren Macomb,230227,26099,Macomb,MI,"McLaren Health Care - Flint, MI",42.59,-82.9
3,3,3,3,3,3,3,701.5,Trinitas Regional Medical Center,310027,34039,Union,NJ,"Not In Any System - ,",40.66,-74.22
3,3,3,3,3,3,3,698.58,City of Hope Comprehensive Cancer Center,50146,6037,Los Angeles,CA,"Not In Any System - ,",34.13,-117.97
3,3,3,3,3,3,3,698.02,Evanston Hospital,140010,17031,Cook,IL,"NorthShore University HealthSystem - Chicago, IL",42.07,-87.68
3,3,3,3,3,3,3,697.77,Creedmoor Psychiatric Center,334004,36081,Queens,NY,"New York State Office of Mental Health - Albany, NY",40.74,-73.73
3,3,3,3,3,3,3,694.88,Kaweah Delta Health Care District,50057,6107,Tulare,CA,"Not In Any System - ,",36.33,-119.29
3,3,3,3,3,3,3,693.5,NYC Health + Hospitals Coney Island,330196,36047,Kings,NY,"NYC Health + Hospitals - New York, NY",40.59,-73.97
3,3,3,3,3,3,3,693.16,The University Hospital,310119,34013,Essex,NJ,"Not In Any System - ,",40.74,-74.19
3,3,3,3,3,3,3,692.09,UC Davis Medical Center,50599,6067,Sacramento,CA,"University of California Health - Oakland, CA",38.55,-121.46
3,3,3,3,3,3,3,688.21,AdventHealth Ocala,100062,12083,Marion,FL,"AdventHealth - Altamonte Springs, FL",29.18,-82.14
3,3,3,3,3,3,3,684.24,Lahey Hospital and Medical Center Burlington,220171,25017,Middlesex,MA,"Beth Israel Lahey Health - Boston, MA",42.49,-71.21
3,3,3,3,3,3,3,683.3,Loyola University Medical Center,140276,17031,Cook,IL,"Trinity Health - Livonia, MI",41.86,-87.83
3,3,3,3,3,3,3,678.72,University Medical Center of El Paso,450024,48141,El Paso,TX,"Not In Any System - ,",31.77,-106.43
3,3,3,3,3,3,3,678.37,NYC Health + Hospitals Woodhull,330396,36047,Kings,NY,"NYC Health + Hospitals - New York, NY",40.7,-73.94
3,3,3,3,3,3,3,669.06,The Brooklyn Hospital Center,330056,36047,Kings,NY,"Not In Any System - ,",40.69,-73.98
3,3,3,3,3,3,3,666.44,WellStar Kennestone Hospital,110035,13067,Cobb,GA,"WellStar Health System - Marietta, GA",33.97,-84.55
3,3,3,3,3,3,3,664.36,Robert Wood Johnson University Hospital New Brunswick,310038,34023,Middlesex,NJ,"RWJBarnabas Health - West Orange, NJ",40.5,-74.45
3,3,3,3,3,3,3,661.9,Spartanburg Medical Center,420007,45083,Spartanburg,SC,"Spartanburg Regional Healthcare System - Spartanburg, SC",34.97,-81.94
3,3,3,3,3,3,3,650.83,Vanderbilt University Hospital,440039,47037,Davidson,TN,"Vanderbilt University Medical Center - Nashville, TN",36.14,-86.8
3,3,3,3,3,3,3,643,Inspira Medical Center Woodbury,310081,34015,Gloucester,NJ,"Inspira Health Network - Vineland, NJ",39.84,-75.15
3,3,3,3,3,3,3,641.76,Ocean Medical Center,310052,34029,Ocean,NJ,"Hackensack Meridian Health - Hackensack, NJ",40.08,-74.13
3,3,3,3,3,3,3,636.62,Tucson Medical Center,30006,4019,Pima,AZ,"Not In Any System - ,",32.25,-110.88
3,3,3,3,3,3,3,632.89,Banner -  University Medical Center Tucson,30064,4019,Pima,AZ,"Banner Health - Phoenix, AZ",32.24,-110.94
3,3,3,3,3,3,3,623.24,UAB Hospital,10033,1073,Jefferson,AL,"UAB Medicine - Birmingham, AL",33.51,-86.8
3,3,3,3,3,3,3,623.07,Texas Children's Hospital,453304,48201,Harris,TX,"Texas Children's Hospital - Houston, TX",29.71,-95.4
3,3,3,3,3,3,3,621.61,Morristown Medical Center,310015,34027,Morris,NJ,"Atlantic Health System - Morristown, NJ",40.79,-74.47
3,3,3,3,3,3,3,619.33,Jersey Shore University Medical Center,310073,34025,Monmouth,NJ,"Hackensack Meridian Health - Hackensack, NJ",40.21,-74.04
3,3,3,3,3,3,3,612.15,Arrowhead Regional Medical Center,50245,6071,San Bernardino,CA,"Not In Any System - ,",34.07,-117.35
3,3,3,3,3,3,3,611.63,Memorial Sloan-Kettering Cancer Center,330154,36061,New York,NY,"Not In Any System - ,",40.76,-73.96
3,3,3,3,3,3,3,608.8,University of Maryland Prince George's Hospital Center,210003,24033,Prince Georges,MD,"University of Maryland Medical System - Baltimore, MD",38.93,-76.92
3,3,3,3,3,3,3,602.1,Buffalo General Medical Center,330005,36029,Erie,NY,"Kaleida Health - Buffalo, NY",42.9,-78.87
3,3,3,3,3,3,3,599.3,Saint Barnabas Medical Center,310076,34013,Essex,NJ,"RWJBarnabas Health - West Orange, NJ",40.76,-74.3
3,3,3,3,3,3,3,591.35,Hospital of the University of Pennsylvania,390111,42101,Philadelphia,PA,"Penn Medicine - Philadelphia, PA",39.95,-75.19
3,3,3,3,3,3,3,591.05,IU Health Methodist University,150056,18097,Marion,IN,"Indiana University Health - Indianapolis, IN",39.79,-86.17
3,3,3,3,3,3,3,589.6,Fontana Medical Center,50140,6071,San Bernardino,CA,"Kaiser Permanente - Oakland, CA",34.07,-117.44
3,3,3,3,3,3,3,587.78,Crozer-Chester Medical Center,390180,42045,Delaware,PA,"Prospect Medical Holdings - Los Angeles, CA",39.86,-75.37
3,3,3,3,3,3,3,587.44,Norton Hospital,180088,21111,Jefferson,KY,"Norton Healthcare - Louisville, KY",38.25,-85.75
3,3,3,3,3,3,3,586.99,Sarasota Memorial Hospital,100087,12115,Sarasota,FL,"Not In Any System - ,",27.32,-82.53
3,3,3,3,3,3,3,586.97,Huntington Hospital,50438,6037,Los Angeles,CA,"Not In Any System - ,",34.14,-118.15
3,3,3,3,3,3,3,586.44,NYC Health + Hospitals Lincoln,330080,36005,Bronx,NY,"NYC Health + Hospitals - New York, NY",40.82,-73.92
3,3,3,3,3,3,3,582.55,NYC Health + Hospitals Jacobi,330127,36005,Bronx,NY,"NYC Health + Hospitals - New York, NY",40.86,-73.85
3,3,3,3,3,3,3,580.73,Newark Beth Israel Medical Center,310002,34013,Essex,NJ,"RWJBarnabas Health - West Orange, NJ",40.71,-74.21
3,3,3,3,3,3,3,578.83,Las Palmas Medical Center,450107,48141,El Paso,TX,"HCA Healthcare - Nashville, TN",31.77,-106.5
3,3,3,3,3,3,3,578.73,Greenville Memorial Hospital,420078,45045,Greenville,SC,"Prisma Health - Columbia, SC",34.82,-82.41
3,3,3,3,3,3,3,574.49,Ochsner Medical Center,190036,22051,Jefferson,LA,"Ochsner Health System - New Orleans, LA",29.96,-90.15
3,3,3,3,3,3,3,574.47,Banner Desert Medical Center,30065,4013,Maricopa,AZ,"Banner Health - Phoenix, AZ",33.39,-111.88
3,3,3,3,3,3,3,570.12,Baptist Medical Center,450058,48029,Bexar,TX,"TENET Healthcare - Dallas, TX",29.43,-98.49
3,3,3,3,3,3,3,569.55,John Peter Smith Hospital,450039,48439,Tarrant,TX,"JPS Health Network - Fort Worth, TX",32.73,-97.33
3,3,3,3,3,3,3,567.02,The Valley Hospital,310012,34003,Bergen,NJ,"Valley Health System - Ridgewood, NJ",40.98,-74.1
3,3,3,3,3,3,3,557.3,Lee Memorial Hospital,100012,12071,Lee,FL,"Lee Health - Fort Myers, FL",26.63,-81.87
3,3,3,3,3,3,3,556.53,Hu Hu Kam Memorial Hospital,31308,4021,Pinal,AZ,"Indian Health Service - Rockville, MD",33.07,-111.76
3,3,3,3,3,3,3,554.27,Christiana Hospital,80001,10003,New Castle,DE,"ChristianaCare - Newark, DE",39.69,-75.67
3,3,3,3,3,3,3,553.98,Advocate Christ Medical Center,140208,17031,Cook,IL,"Advocate Aurora Health - Downers Grove, IL",41.72,-87.73
3,3,3,3,3,3,3,547.25, Brockton Hospital,220052,25023,Plymouth,MA,"Not In Any System - ,",42.09,-70.99
3,3,3,3,3,3,3,546.05,"John H. Stroger, Jr. Hospital of Cook County",140124,17031,Cook,IL,"Cook County Health - Chicago, IL",41.87,-87.68
3,3,3,3,3,3,3,545.85,Edinburg Regional Medical Center,450119,48215,Hidalgo,TX,"Universal Health Services, Inc. - King of Prussia, PA",26.26,-98.18
3,3,3,3,3,3,3,543.95,Abington Hospital  - Jefferson Health,390231,42091,Montgomery,PA,"Jefferson Health - Philadelphia, PA",40.12,-75.12
3,3,3,3,3,3,3,536.53,Tampa General Hospital,100128,12057,Hillsborough,FL,"Not In Any System - ,",27.94,-82.46
3,3,3,3,3,3,3,533.17,The Moses H. Cone Memorial Hospital,340091,37081,Guilford,NC,"Cone Health - Greensboro, NC",36.09,-79.79
3,3,3,3,3,3,3,531.1,Northwestern Memorial Hospital,140281,17031,Cook,IL,"Northwestern Medicine - Chicago, IL",41.9,-87.62
3,3,3,3,3,3,3,529.6,Valleywise Health Medical Center,30022,4013,Maricopa,AZ,"Valleywise Health - Phoenix, AZ",33.46,-112.03
3,3,3,3,3,3,3,529.35,Pomona Valley Hospital Medical Center,50231,6037,Los Angeles,CA,"Not In Any System - ,",34.08,-117.75
3,3,3,3,3,3,3,529.3,AtlantiCare Regional Medical Center -Atlantic City Campus,310064,34001,Atlantic,NJ,"Geisinger - Danville, PA",39.36,-74.43
3,3,3,3,3,3,3,524.56,NYU Winthrop Hospital,330167,36059,Nassau,NY,"NYU Langone Health - New York, NY",40.74,-73.64
3,3,3,3,3,3,3,519.55,Strong Memorial Hospital,330285,36055,Monroe,NY,"The University of Rochester Medical Center - Rochester, NY",43.12,-77.63
3,3,3,3,3,3,3,517.75,Cincinnati Children's Hospital Medical Center,363300,39061,Hamilton,OH,"Not In Any System - ,",39.14,-84.5
3,3,3,3,3,3,3,515.66,Keck Hospital of USC,50696,6037,Los Angeles,CA,"Keck Medicine of USC - Los Angeles, CA",34.06,-118.2
3,3,3,3,3,3,3,514.66,CHA Cambridge Hospital,220011,25017,Middlesex,MA,"Cambridge Health Alliance - Cambridge, MA",42.37,-71.1
3,3,3,3,3,3,3,514.54,NSMC Union Hospital,220035,25009,Essex,MA,"Partners HealthCare System - Boston, MA",42.5,-70.98
3,3,3,3,3,3,3,514.52,Wyckoff Heights Medical Center,330221,36047,Kings,NY,"Not In Any System - ,",40.7,-73.92
3,3,3,3,3,3,3,514,Suncoast Behavioral Health Center,104078,12081,Manatee,FL,"Universal Health Services, Inc. - King of Prussia, PA",27.46,-82.61
3,3,3,3,3,3,3,513.91,"Beaumont Hospital,  Dearborn",230020,26163,Wayne,MI,"Beaumont Health - Royal Oak, MI",42.29,-83.21
3,3,3,3,3,3,3,510.66,Aurora Sinai Medical Center,520064,55079,Milwaukee,WI,"Advocate Aurora Health - Downers Grove, IL",43.04,-87.93
3,3,3,3,3,3,3,500.91,UPMC Presbyterian,390164,42003,Allegheny,PA,"University of Pittsburgh Medical Center (UPMC) - Pittsburgh, PA",40.44,-79.96
3,3,3,3,3,3,3,499.51,Silver Cross Hospital,140213,17197,Will,IL,"Not In Any System - ,",41.54,-87.99
3,3,3,3,3,3,3,499.21,Halifax Health Medical Center of Daytona Beach,100017,12127,Volusia,FL,"Halifax Health - Daytona Beach, FL",29.2,-81.06
3,3,3,3,3,3,3,496.86,The Mount Sinai Hospital,330024,36061,New York,NY,"Mount Sinai Health System - New York, NY",40.79,-73.95
3,3,3,3,3,3,3,496.56,University of Illinois Medical Center,140150,17031,Cook,IL,"Not In Any System - ,",41.87,-87.67
3,3,3,3,3,3,3,490.63,WellSpan York Hospital,390046,42133,York,PA,"WellSpan Health - York, PA",39.95,-76.72
3,3,3,3,3,3,3,489.16,Sunrise Hospital & Medical Center,290003,32003,Clark,NV,"HCA Healthcare - Nashville, TN",36.13,-115.14
3,3,3,3,3,3,3,488.3,Ben Taub General Hospital,450289,48201,Harris,TX,"Harris Health System - Houston, TX",29.71,-95.39
3,3,3,3,3,3,3,487,Northeast Georgia Medical Center Gainesville,110029,13139,Hall,GA,"Northeast Georgia Health System - Gainesville, GA",34.3,-83.82
3,3,3,3,3,3,3,483.33,Hackensack Meridian Health JFK Medical Center,310108,34023,Middlesex,NJ,"Hackensack Meridian Health - Hackensack, NJ",40.56,-74.35
3,3,3,3,3,3,3,478.77,Los Angeles Medical Center,50138,6037,Los Angeles,CA,"Kaiser Permanente - Oakland, CA",34.1,-118.29
3,3,3,3,3,3,3,477.66,Children's Hospital of Orange County,53304,6059,Orange,CA,"Not In Any System - ,",33.78,-117.86
3,3,3,3,3,3,3,474.78,Olive View-UCLA Medical Center,50040,6037,Los Angeles,CA,"Los Angeles County, Department of Health Services - Los Angeles, CA",34.32,-118.45
3,3,3,3,3,3,3,473.16,Saint Francis Hospital and Medical Center,70002,9003,Hartford,CT,"Trinity Health - Livonia, MI",41.77,-72.7
3,3,3,3,3,3,3,472.71,JFK Medical Center - Main,100080,12099,Palm Beach,FL,"HCA Healthcare - Nashville, TN",26.6,-80.09
3,3,3,3,3,3,3,470.87,Baptist Medical Center Jacksonville,100088,12031,Duval,FL,"Baptist Health - Jacksonville, FL",30.32,-81.66
3,3,3,3,3,3,3,469.5,Ann & Robert H. Lurie Children's Hospital of Chicago,143300,17031,Cook,IL,"Not In Any System - ,",41.9,-87.62
3,3,3,3,3,3,3,468.29,Robert Wood Johnson University Hospital Somerset,310048,34035,Somerset,NJ,"RWJBarnabas Health - West Orange, NJ",40.57,-74.6
3,3,3,3,3,3,3,467.08,Banner Thunderbird Medical Center,30089,4013,Maricopa,AZ,"Banner Health - Phoenix, AZ",33.61,-112.18
3,3,3,3,3,3,3,466.47,Thomas Jefferson University Hospital - Center City Campus,390174,42101,Philadelphia,PA,"Jefferson Health - Philadelphia, PA",39.95,-75.16
3,3,3,3,3,3,3,466.04,Barnes-Jewish Hospital,260032,29189,St Louis,MO,"BJC HealthCare - Saint Louis, MO",38.63,-90.26
3,3,3,3,3,3,3,465.81,Saint Joseph's Hospital,100075,12057,Hillsborough,FL,"BayCare Health System - Clearwater, FL",27.98,-82.49
3,3,3,3,3,3,3,465.08,Long Beach Medical Center,50485,6037,Los Angeles,CA,"MemorialCare - Huntington Beach, CA",33.81,-118.18
3,3,3,3,3,3,3,463.75,PIH Health Hospital - Whittier,50169,6037,Los Angeles,CA,"PIH Health - Whittier, CA",33.97,-118.05
3,3,3,3,3,3,3,462.08,AnMed Health Medical Center,420027,45007,Anderson,SC,"AnMed Health - Anderson, SC",34.51,-82.65
3,3,3,3,3,3,3,461.87,Covenant Medical Center Harrison,230070,26145,Saginaw,MI,"Covenant Healthcare - Saginaw, MI",43.43,-83.96
3,3,3,3,3,3,3,460.24,Beth Israel Deaconess Hospital-Plymouth,220060,25023,Plymouth,MA,"Beth Israel Lahey Health - Boston, MA",41.94,-70.64
3,3,3,3,3,3,3,447.52,Lehigh Valley Hospital - Cedar Crest,390133,42077,Lehigh,PA,"Lehigh Valley Health Network - Allentown, PA",40.57,-75.52
3,3,3,3,3,3,3,446.26,Riverside Community Hospital,50022,6065,Riverside,CA,"HCA Healthcare - Nashville, TN",33.98,-117.38
3,3,3,3,3,3,3,446.24,NSMC Salem Hospital,220006,25009,Essex,MA,"Partners HealthCare System - Boston, MA",42.51,-70.91
3,3,3,3,3,3,3,445.65,Saint Peter's University Hospital,310070,34023,Middlesex,NJ,"Not In Any System - ,",40.5,-74.46
3,3,3,3,3,3,3,445.15, Ascension Saint John Hospital,230165,26163,Wayne,MI,"Ascension Health - Saint Louis, MO",42.42,-82.92
3,3,3,3,3,3,3,445,CaroMont Regional Medical Center,340032,37071,Gaston,NC,"Not In Any System - ,",35.27,-81.14
3,3,3,3,3,3,3,444.97,Kingsbrook Jewish Medical Center,330201,36047,Kings,NY,"Not In Any System - ,",40.66,-73.93
3,3,3,3,3,3,3,444.87,Westchester Medical Center,330234,36119,Westchester,NY,"Westchester Medical Center Health Network - Valhalla, NY",41.09,-73.8
3,3,3,3,3,3,3,444.27,Carolinas Medical Center,340113,37119,Mecklenburg,NC,"Atrium Health - Charlotte, NC",35.21,-80.84
3,3,3,3,3,3,3,442.67,Huntsville Hospital,10039,1089,Madison,AL,"Huntsville Healthcare System - Huntsville, AL",34.72,-86.58
3,3,3,3,3,3,3,439.25,Orlando Regional Medical Center,100006,12095,Orange,FL,"Orlando Health - Orlando, FL",28.53,-81.38
3,3,3,3,3,3,3,438.76,Saint Vincent's Medical Center,70028,9001,Fairfield,CT,"Hartford Healthcare - Hartford, CT",41.2,-73.2
3,3,3,3,3,3,3,438.49,Aultman Hospital,360084,39151,Stark,OH,"Aultman - Canton, OH",40.8,-81.4
3,3,3,3,3,3,3,437.89,Holy Cross Hospital,210004,24031,Montgomery,MD,"Trinity Health - Livonia, MI",39.02,-77.04
3,3,3,3,3,3,3,437.33,Saint Barnabas Hospital,330399,36005,Bronx,NY,"Not In Any System - ,",40.85,-73.89
3,3,3,3,3,3,3,436.94,Valley Presbyterian Hospital,50126,6037,Los Angeles,CA,"Not In Any System - ,",34.19,-118.46
